,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT,DEMARCACIO,,,
68,amuebladoen edificio pequeno con roof y calle tranquila,27000,70,NA,NA,easyaviso,28:03.5,385.7142857,19.431738,-99.1708389,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148608.32441266)
69,renta de departamento en cuauhtemoc reforma.  ct598,30000,98,2,3,easyaviso,28:03.5,306.122449,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
70,ph amoblado con terraza privada en reforma  60m2,17400,60,NA,NA,easyaviso,28:03.5,290,19.4269984,-99.1701674,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148083.80198322)
71,departamento ejecutivo en renta en reforma 127m2,85000,127,NA,NA,easyaviso,28:03.5,669.2913386,19.4256427,-99.172342,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147934.01621756)
72,renta departamento en cuauhtemoc cdmx ch79,43000,90,2,2,easyaviso,28:03.5,477.7777778,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
73,departamento en renta en cuauhtemoc,38000,120,NA,2,easyaviso,28:03.5,316.6666667,19.4335862,-99.1698593,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148812.73229941)
74,st regis 2606 1 recamara amueblado,95000,NA,NA,NA,easyaviso,28:03.5,NA,19.4256427,-99.172342,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147934.01621756)
75,renta y estrena gran depto. t05 en la col. cuauhtemoc,24000,97,2,2,easyaviso,28:03.5,247.4226804,19.4332371,-99.1646598,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148773.57306937)
76,departamento en renta cuauhtemoc,22500,71,NA,NA,easyaviso,28:03.5,316.9014085,19.4277443,-99.1730046,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148166.63498796)
77,departamento amueblado en renta colonia cuauhtemoc,35000,107,2,3,easyaviso,28:03.5,327.1028037,19.4308928,-99.1682113,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148514.52867006)
78,cuauhtemoc equipado y amueblado de lujo 3 recamaras,58000,130,2,3,easyaviso,28:03.5,446.1538462,19.4322204,-99.1659133,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148661.19807676)
79,renta de departamento amueblado en la colonia chuahutemoc,28500,80,NA,NA,easyaviso,28:03.5,356.25,19.4320033,-99.1659542,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148637.179367)
80,departamento 110m2 cuauhtemoc 3 recamaras con roof privado,39000,110,3,3,easyaviso,28:03.5,354.5454545,19.424059,-99.1772511,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147759.29743555)
81,hermoso departamento renta  cerca de reforma,30000,80,2,2,easyaviso,28:03.5,375,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
82,hermoso departamento en renta  cerca de reforma,58000,220,4,6,easyaviso,28:03.5,263.6363636,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
83,hermoso departamento renta  cerca de reforma  muy amplio,46000,170,4,4,easyaviso,28:03.5,270.5882353,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
84,hermoso departamento renta  cerca de reforma,44000,170,3,5,easyaviso,28:03.5,258.8235294,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
85,hermoso departamento renta rio tigris  super amplio,44000,170,3,5,easyaviso,28:03.5,258.8235294,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
86,loft amueblado y equipado en cuautemoc,20000,50,NA,NA,easyaviso,28:03.5,400,19.434459,-99.1688251,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148909.20383309)
87,departamento en renta en cuauhtemoc 1 recamaras,25000,100,NA,NA,easyaviso,28:03.5,250,19.4304827,-99.1654,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148468.86390551)
88,exclusivo departamento en st. regis,70000,127,NA,NA,easyaviso,28:03.5,551.1811024,19.4303694,-99.1654647,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148456.33340508)
89,renta all vistas reforma 27000,27000,61,2,2,easyaviso,28:03.5,442.6229508,19.4286734,-99.1731812,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148269.461649)
90,departamento en renta en paseo de la reforma st regis 2007,137116,189,2,3,easyaviso,28:03.5,725.4814815,19.4256427,-99.172342,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147934.01621756)
91,renta departamento amueblado,20000,NA,NA,2,easyaviso,28:03.5,NA,19.4334014,-99.1692644,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148792.22206061)
92,departamento con terraza amplia en la cuauhtemoc,30000,80,2,2,easyaviso,28:03.5,375,19.4308328,-99.1659954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148507.66377548)
93,departamento amueblado 4 recamaras en la cuauhtemoc,40000,170,4,4,easyaviso,28:03.5,235.2941176,19.4268328,-99.1699954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148065.45996498)
94,departamento amueblado en la cuauhtemoc  renta,57000,300,4,6,easyaviso,28:03.5,190,19.4308328,-99.1659954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148507.66377548)
95,departmento amueblado st regis 2006,97940,127,2,NA,easyaviso,28:03.5,771.1811024,19.4256427,-99.172342,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147934.01621756)
96,departamento amoblado en renta  rio neva  cuauhtemoc,40000,110,2,2,easyaviso,28:03.5,363.6363636,19.4308192,-99.1619165,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148505.75127305)
97,renta departamento col. cuauhtemoc.,25000,88,2,2,easyaviso,28:03.5,284.0909091,19.4258936,-99.1758183,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147962.14790612)
98,penthouse en renta en cuauhtemoc  residencias st regis,292840.6,410,3,3,easyaviso,28:03.5,714.2453659,19.4256427,-99.172342,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147934.01621756)
99,renta departamento con terraza y membresia en the ritzcarlton cdmx,107734,80,2,NA,easyaviso,28:03.5,1346.675,19.4241419,-99.17560101,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147768.29367128)
100,residencias ritz carlton piso 54,254644,240,2,2,easyaviso,28:03.5,1061.016667,19.423797,-99.1756078,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147730.12960544)
101,renta departamento amueblado residencial lugano  mt,38000,120,2,2,easyaviso,28:03.5,316.6666667,19.4335534,-99.1708936,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148809.21028883)
102,departamento en venta en cuauhtemoc,1,140,2,2,easyaviso,28:03.5,0.007142857,19.4277893,-99.171524,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148171.45895032)
103,departamento en renta cdmx,35000,107,2,3,easyaviso,28:03.5,327.1028037,19.4308928,-99.1682113,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148514.52867006)
104,rio misisipi cuauhtemoc,22500,71,NA,NA,easyaviso,28:03.5,316.9014085,19.4277443,-99.1730046,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148166.63498796)
105,departamento amueblado en renta cuauhtemoc,38000,NA,NA,2,easyaviso,28:03.5,NA,19.4317147,-99.1725028,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148605.92029836)
106,renta departamento la colonia cuauhtemoc,27000,92.5,NA,2,easyaviso,28:03.5,291.8918919,19.4310153,-99.1639727,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148527.65460909)
107,apartamento en el centro financiero rio rin,45000,96,2,2,easyaviso,28:03.5,468.75,19.4333378,-99.1663083,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148784.88215775)
108,departamento renta en colonia cuauhtemoc,40000,110,2,2,easyaviso,28:03.5,363.6363636,19.431494,-99.1624579,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148580.47366897)
109,suite ejecutiva 1 habitacion 1 auto. remodelado.,19500,57,NA,NA,easyaviso,28:03.5,342.1052632,19.42842016,-99.17026665,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148241.13488595)
110,departamento en renta en reforma ritz carlton cuauhtemoc,117528,123,2,NA,easyaviso,28:03.5,955.5121951,19.4240425,-99.1757592,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147757.31120129)
111,departamento en venta o renta en ritz carlton,152786.4,156.79,2,2,easyaviso,28:03.5,974.4652082,19.4240425,-99.1757592,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147757.31120129)
112,renta depa en col. cuauhtemoc vuelve tu sueno a la vida,34000,115,2,2,easyaviso,28:03.5,295.6521739,19.4310829,-99.1687935,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148535.62367)
113,departamento  amueblado en ritz carlton,125363.2,120,NA,NA,easyaviso,28:03.5,1044.693333,19.4238586,-99.17567611,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147736.95260673)
114,venta departamento en col.cuauhtemoc,23000,114,NA,2,easyaviso,28:03.5,201.754386,19.4315806,-99.1635116,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148590.160928)
115,departamento loft amueblado con servicios,55000,80,NA,NA,easyaviso,28:03.5,687.5,19.42570346,-99.17146414,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147940.64800747)
116,renta departamento colonia cuauhtemoc,29000,155,2,2,easyaviso,28:03.5,187.0967742,19.4319954,-99.1659839,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148636.30820999)
117,departamento amueblado con aire acondicionado,45000,74,2,2,easyaviso,28:03.5,608.1081081,19.4328484,-99.1661571,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148730.71307092)
118,renta de  departamento en rio hudson cuauhtemoc,28000,50,NA,2,easyaviso,28:03.5,560,19.4270948,-99.1751115,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148094.98912672)
119,departamento en cuauhtemoc,29000,68,NA,NA,easyaviso,28:03.5,426.4705882,19.4286455,-99.1699945,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148266.04117123)
120,renta de bonito departamento a dos cuadras del angel,27000,70,NA,2,easyaviso,28:03.5,385.7142857,19.4299345,-99.1687166,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148408.54143863)
121,renta departamento cuauhtemoc,31000,44,NA,NA,easyaviso,28:03.5,704.5454545,19.4328484,-99.1661571,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148730.71307092)
122,departamento en renta en cdmx con gran vista a la ciudad,30000,80,2,2,easyaviso,28:03.5,375,19.4319434,-99.1678492,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148630.74401518)
123,excelente departamento duplex amueblado en rio tigris cdmx,60000,240,4,6,easyaviso,28:03.5,250,19.4319434,-99.1678492,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148630.74401518)
124,vive en la cdmx cerca de av. reforma en este departamento en renta.,43000,170,4,4,easyaviso,28:03.5,252.9411765,19.4319434,-99.1678492,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148630.74401518)
125,excelente departamento amueblado en cdmx cerca de av. reforma,4.20E+07,170,3,5,easyaviso,28:03.5,247058.8235,19.4319434,-99.1678492,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148630.74401518)
126,renta amplio departamento. col. cuauhtemoc.,40000,120,2,NA,easyaviso,28:03.5,333.3333333,19.4270375,-99.1738769,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148088.51740384)
127,renta de departamento en  cuauhtemoc,60000,300,4,6,easyaviso,28:03.5,200,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
128,renta de departamento en  cuauhtemoc,42000,170,4,4,easyaviso,28:03.5,247.0588235,19.4298328,-99.1669954,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148397.11190369)
129,espectacular departamento amueblado,23000,83,NA,2,easyaviso,28:03.5,277.1084337,19.4283528,-99.1696612,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148233.61844063)
130,suite amueblada en venta y renta en the ritz carlton mexico city,78352,62,NA,NA,easyaviso,28:03.5,1263.741935,19.4240425,-99.1757592,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147757.31120129)
131,departamento en renta en rio nazas muebles servicios y equipamiento incluido,48809,74,2,2,easyaviso,28:03.5,659.5810811,19.4328484,-99.1661571,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148730.71307092)
132,departamento en renta en cuauhtemoc muebles servicios y equipamiento incluido,54007,96,2,2,easyaviso,28:03.5,562.5729167,19.4333378,-99.1663083,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148784.88215775)
133,iv departamento en renta cuauhtemoc melchor ocampo,27500,70.9,NA,NA,easyaviso,28:03.5,387.8702398,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
134,departamento en renta en rio nazas muebles servicios y equipamiento incluido,38782,45,NA,NA,easyaviso,28:03.5,861.8222222,19.4328484,-99.1661571,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148730.71307092)
135,departamento en renta en rio guadalquivir cuauhtemoc,50000,230,3,3,easyaviso,28:03.5,217.3913043,19.4292751,-99.1705033,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148335.76131398)
136,departamento en renta en st regis con impresionante vista panoramica,85000,120,NA,NA,easyaviso,28:03.5,708.3333333,19.4256427,-99.172342,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147934.01621756)
137,townhouse amueblado y equipado en la cuautemoc,70000,90,2,2,easyaviso,28:03.5,777.7777778,19.431494,-99.1624579,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148580.47366897)
