,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT
66,departamento en venta en cuauhtemoc,5400000,80,2,2,easyaviso,25:53.3,67500,19.4295319,-99.1706944,CUAUHTEMOC,15-009
67,deparatamento en venta en cuauhtemoc rio panuco,5950000,70.12,2,2,easyaviso,25:53.3,84854.53508,19.4316992,-99.1659505,CUAUHTEMOC,15-009
68,venta de pent house col. cuauhtemoc,8350000,143.7,2,2,easyaviso,25:53.3,58107.16771,19.4321322,-99.1671413,CUAUHTEMOC,15-009
69,departamento en venta amueblado y equipado con balcon edificio art deco 55m2,4500000,55,NA,NA,easyaviso,25:53.3,81818.18182,19.4270948,-99.1751115,CUAUHTEMOC,15-009
70,venta departamento para airbnbcol. cuauhtemoc,6500000,92,2,2,easyaviso,25:53.3,70652.17391,19.4286386,-99.1718367,CUAUHTEMOC,15-009
71,departamento en rio amazonas a una calle de paseo de la reforma,2499000,NA,NA,NA,easyaviso,25:53.3,NA,19.43145847,-99.16376452,CUAUHTEMOC,15-009
72,departamento en preventa rio de la plata cuauhtemoc,6417476.37,75.19,2,2,easyaviso,25:53.3,85350.13127,19.4265146,-99.1739038,CUAUHTEMOC,15-009
73,venta departamento de lujocol. cuauhtemoc,5700000,77,2,2,easyaviso,25:53.3,74025.97403,19.4286386,-99.1718367,CUAUHTEMOC,15-009
74,departamento en venta rio balsas col cuauhtemoc,3990000,112,NA,2,easyaviso,25:53.3,35625,19.4319202,-99.1714858,CUAUHTEMOC,15-009
75,rio de la plata i cuauhtemoc cuauhtemoc cdmx,6417477,72.7,2,2,easyaviso,25:53.3,88273.41128,19.4256007,-99.1748776,CUAUHTEMOC,15-009
76,rio lerma i cuauhtemoc cuauhtemoc cdmx,3390000,37.4,NA,NA,easyaviso,25:53.3,90641.71123,19.427616,-99.1723477,CUAUHTEMOC,15-009
77,rio rhin i cuauhtemoc cuauhtemoc cdmx,4899000,65.43,2,2,easyaviso,25:53.3,74873.91105,19.4343378,-99.1653083,CUAUHTEMOC,15-009
78,rio guadalquivir iv cuauhtemoc cuauhtemoc cdmx,9991800,100.74,2,2,easyaviso,25:53.3,99184.03812,19.4314631,-99.16727677,CUAUHTEMOC,15-009
79,av. paseo de la reforma i cuauhtemoc cuauhtemoc cdmx,16619717.43,57.96,NA,NA,easyaviso,25:53.3,286744.6072,19.42726003,-99.17274847,CUAUHTEMOC,15-009
80,descubre tu proximo hogar en rio ussuri cuauhtemoc,3950000,83.9,NA,2,easyaviso,25:53.3,47079.85697,19.4322826,-99.1720224,CUAUHTEMOC,15-009
81,pent house en col cuauhtemoc 6500000,6500000,90,NA,NA,easyaviso,25:53.3,72222.22222,19.4315141,-99.1624641,CUAUHTEMOC,15-009
82,venta de departamento en cuauhtemoc cuauhtemoc rio guadalquivir 81.,9991800,100.74,2,2,easyaviso,25:53.3,99184.03812,19.428275,-99.1701372,CUAUHTEMOC,15-009
83,departamento en venta con uso habitacional y comercial  rio panuco colonia cua,5800000,147,2,3,easyaviso,25:53.3,39455.78231,19.4298059,-99.169518,CUAUHTEMOC,15-009
84,departamento tipo estudio en venta  colonia cuauhtemoc calle rio balsas,2750000,48,NA,NA,easyaviso,25:53.3,57291.66667,19.4324154,-99.169806,CUAUHTEMOC,15-009
85,departamento en venta en st regis,19900000,120,NA,NA,easyaviso,25:53.3,165833.3333,19.4252897,-99.17226,CUAUHTEMOC,15-009
86,departamento en preventa rio nazas cuauhtemoc entrega inmediata,6850000,105.2,2,2,easyaviso,25:53.3,65114.06844,19.431362,-99.169102,CUAUHTEMOC,15-009
87,departamento en venta en cuauhtemoc con roof garden privado,7142500,70,2,2,easyaviso,25:53.3,102035.7143,19.4335862,-99.1698593,CUAUHTEMOC,15-009
88,departamento en venta en cuauhtemoc con balcon,7550000,80.5,NA,2,easyaviso,25:53.3,93788.81988,19.4284411,-99.1690587,CUAUHTEMOC,15-009
89,departamento en venta con balcon y dos habitaciones en la cuauthemoc,5450000,71.51,NA,2,easyaviso,25:53.3,76213.11705,19.4298854,-99.1691796,CUAUHTEMOC,15-009
90,departamento en venta rio guadalquivir col. cuauhtemoc,6450000,81.2,2,2,easyaviso,25:53.3,79433.49754,19.4307278,-99.1711649,CUAUHTEMOC,15-009
91,departamento en venta colonia cuauhtemoc,8500000,120,2,3,easyaviso,25:53.3,70833.33333,19.4331818,-99.1661263,CUAUHTEMOC,15-009
92,departamento en venta a una calle del angel de la independencia.,6250000,100,2,2,easyaviso,25:53.3,62500,19.4270245,-99.1676647,CUAUHTEMOC,15-009
93,venta de departamento cerca del corredor reforma,6600000,85.01,2,2,easyaviso,25:53.3,77637.92495,19.4304782,-99.1707085,CUAUHTEMOC,15-009
94,exclusivo pent house con roof privado vive el lujo en el corazon de la ciudad,6500000,83,NA,NA,easyaviso,25:53.3,78313.25301,19.4316912,-99.1613396,CUAUHTEMOC,15-009
95,cuauhtemoc rio rhin venta departamento con balcon,7990000,117.7,2,3,easyaviso,25:53.3,67884.452,19.4317498,-99.1652508,CUAUHTEMOC,15-009
96,extraordinario departamento con roof privado y amenidades.,7550000,80.5,2,2,easyaviso,25:53.3,93788.81988,19.4262629,-99.1743598,CUAUHTEMOC,15-009
97,extraordinario departamento con 2 balcones.,5750000,74.8,2,2,easyaviso,25:53.3,76871.65775,19.42851261,-99.16885671,CUAUHTEMOC,15-009
98,departamento a estrenar en venta en colonia cuauhtemoc,6450000,90,2,2,easyaviso,25:53.3,71666.66667,19.4302751,-99.1695033,CUAUHTEMOC,15-009
99,departamento en venta cuauhtemoc 2 recamaras,5500000,86.64,2,2,easyaviso,25:53.3,63481.0711,19.4315089,-99.1696819,CUAUHTEMOC,15-009
100,exclusivo departamento en st. regis ciudad de mexico,23900000,120,NA,NA,easyaviso,25:53.3,199166.6667,19.4252897,-99.17226,CUAUHTEMOC,15-009
101,rio grijalva 35 departamento en preventa 2 recamaras con balcon desde 75.70 m2,6032500,NA,2,2,easyaviso,25:53.3,NA,19.4339137,-99.170432,CUAUHTEMOC,15-009
102,rio panuco 62 col. cuauhtemoc,5450000,74.25,2,2,easyaviso,25:53.3,73400.6734,19.4313925,-99.1656162,CUAUHTEMOC,15-009
103,departamento luminoso con balcon en cuauhtemoc,6500000,95,2,2,easyaviso,25:53.3,68421.05263,19.4305056,-99.1648422,CUAUHTEMOC,15-009
104,departamentos en venta cuauhtemoc rio lerma a estrenar,3290000,40,NA,NA,easyaviso,25:53.3,82250,19.4265231,-99.1732685,CUAUHTEMOC,15-009
105,venta de departamento en colonia cuauhtemoc cuauhtemoc,4940000,86.5,NA,2,easyaviso,25:53.3,57109.82659,19.42603905,-99.17543471,CUAUHTEMOC,15-009
106,departamento amueblado venta  en the ritz carlton,77925817.6,216,2,2,easyaviso,25:53.3,360767.6741,19.423899,-99.1752395,CUAUHTEMOC,15-009
107,venta de departamento en cuauhtemoc rio nazas 156.,6850000,85,2,2,easyaviso,25:53.3,80588.23529,19.4304782,-99.1707085,CUAUHTEMOC,15-009
108,departamento en venta en cuauhtemoc dr6145,6995000,70,2,2,easyaviso,25:53.3,99928.57143,19.4310044,-99.1650972,CUAUHTEMOC,15-009
109,departamento en venta en cuauhtemoc dr6144,5995000,70,2,2,easyaviso,25:53.3,85642.85714,19.4310044,-99.1650972,CUAUHTEMOC,15-009
110,departamento en venta en cuauhtemoc dr6140,6495000,70,2,2,easyaviso,25:53.3,92785.71429,19.4310044,-99.1650972,CUAUHTEMOC,15-009
111,departamento en venta en cuauhtemoc,6.00E+06,98.17,NA,NA,easyaviso,25:53.3,61118.46796,19.4309566,-99.1724069,CUAUHTEMOC,15-009
