,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT
346,rio grijalva 35 departamento en preventa 2 recamaras con balcon desde 75.7m2,5937500,NA,2,2,easyaviso,25:53.3,NA,19.4339137,-99.170432,CUAUHTEMOC,15-009
347,departamento en venta a estrenar col. cuauhtemoc,5155987,78.6,2,2,easyaviso,25:53.3,65597.79898,19.432229,-99.1716626,CUAUHTEMOC,15-009
348,departamento en venta col. cuauhtemoc,5052570,72.99,2,2,easyaviso,25:53.3,69222.77024,19.432229,-99.1716626,CUAUHTEMOC,15-009
349,departamento venta cuauhtemoc  ubicadisimo estudio con terraza  super location,6450000,100,NA,NA,easyaviso,25:53.3,64500,19.4293458,-99.1723461,CUAUHTEMOC,15-009
350,rio guadalquivir 31departamento en preventa 2 rec con balcon desde 83.90m2,6143660,NA,2,2,easyaviso,25:53.3,NA,19.4306645,-99.1713662,CUAUHTEMOC,15-009
351,rio guadalquivir 31departamento en preventa 2 rec con balcon desde 81.35,6243557,NA,2,2,easyaviso,25:53.3,NA,19.4306645,-99.1713662,CUAUHTEMOC,15-009
352,rio guadalquivir 31departamento en preventa 2 rec con balcon desde 76.40m2,5943866,NA,2,2,easyaviso,25:53.3,NA,19.4292751,-99.1705033,CUAUHTEMOC,15-009
353,rio guadalquivir 31departamento en preventa 2 rec. con balcon desde 81.35m2m2,6343454,NA,NA,2,easyaviso,25:53.3,NA,19.4306645,-99.1713662,CUAUHTEMOC,15-009
354,rio guadalquivir 31departamento en preventa 2 rec con balcon desde 81.35m2,6443351,NA,2,2,easyaviso,25:53.3,NA,19.4314531,-99.1714661,CUAUHTEMOC,15-009
355,rio guadalquivir 31 departamento en preventa 2 rec desde 72.25 m2,6183619,NA,NA,2,easyaviso,25:53.3,NA,19.4310558,-99.1716622,CUAUHTEMOC,15-009
356,departamento en venta en colonia cuauhtemoc,5842500,70,2,2,easyaviso,25:53.3,83464.28571,19.4334119,-99.1702157,CUAUHTEMOC,15-009
357,departamento en venta en colonia cuauhtemoc,5651501,64,2,2,easyaviso,25:53.3,88304.70313,19.4318083,-99.1656359,CUAUHTEMOC,15-009
358,bosques de las lomas cuajimalpa de morelos ciudad de mexico,10900000,133,2,2,easyaviso,25:53.3,81954.88722,19.4301322,-99.1691413,CUAUHTEMOC,15-009
359,departamento en venta en colonia cuauhtemoc.,8250000,90.4,2,2,easyaviso,25:53.3,91261.06195,19.4301322,-99.1691413,CUAUHTEMOC,15-009
360,departamento en venta en colonia cuauhtemoc.,7077500,90.35,2,2,easyaviso,25:53.3,78334.25567,19.4301322,-99.1691413,CUAUHTEMOC,15-009
361,departamento en venta en colonia cuahtemoc.,7142500,70.1,2,2,easyaviso,25:53.3,101890.1569,19.4301322,-99.1691413,CUAUHTEMOC,15-009
362,departamento en venta en colonia cuauhtemoc.,6317500,75.7,2,2,easyaviso,25:53.3,83454.42536,19.4301322,-99.1691413,CUAUHTEMOC,15-009
363,departamento en venta en colonia cuauhtemoc.,5842500,75.7,2,2,easyaviso,25:53.3,77179.65654,19.4301322,-99.1691413,CUAUHTEMOC,15-009
364,bonito departamento en venta  rio guadalquivir,8771040,170,2,2,easyaviso,25:53.3,51594.35294,19.4283555,-99.1702662,CUAUHTEMOC,15-009
365,departamento pent house en venta en cuauhtemoc,7200000,134,2,2,easyaviso,25:53.3,53731.34328,19.4298684,-99.167721,CUAUHTEMOC,15-009
366,departamentos en venta en la col. cuauhtemoc,4950000,86.5,NA,2,easyaviso,25:53.3,57225.43353,19.4259942,-99.1755924,CUAUHTEMOC,15-009
367,lindo depto ph muy bien ubicado en cuauhtemoc,7800000,122,3,3,easyaviso,25:53.3,63934.42623,19.4301322,-99.1691413,CUAUHTEMOC,15-009
368,hermoso departamento en venta rio danubio,7600000,112,2,2,easyaviso,25:53.3,67857.14286,19.4297419,-99.167303,CUAUHTEMOC,15-009
369,venta departamento chapultepec uno,3.50E+07,108.19,2,2,easyaviso,25:53.3,323504.945,19.4237938,-99.1756269,CUAUHTEMOC,15-009
370,venta de departamento colonia cuauhtemoc a unas cuadras de reforma,4850000,85,2,2,easyaviso,25:53.3,57058.82353,19.4327407,-99.1634408,CUAUHTEMOC,15-009
371,venta departamento colonia cuauhtemoc,4522200,74.75,NA,2,easyaviso,25:53.3,60497.65886,19.4347497,-99.1698908,CUAUHTEMOC,15-009
372,departamento nuevo colonia cuauhtemoc. excelente inversion,5053500,73,2,2,easyaviso,25:53.3,69226.0274,19.4321322,-99.1671413,CUAUHTEMOC,15-009
373,departamento en venta en cuauhtemoc 2 recamaras,6792500,77.5,2,2,easyaviso,25:53.3,87645.16129,19.4334119,-99.1702157,CUAUHTEMOC,15-009
374,departamento en rio guadalquivir col cuauhtemoc,6872340,90,2,2,easyaviso,25:53.3,76359.33333,19.4292751,-99.1705033,CUAUHTEMOC,15-009
375,venta  departamento en st.  regis residences,18900000,120,NA,NA,easyaviso,25:53.3,157500,19.4254096,-99.1721919,CUAUHTEMOC,15-009
376,cuauhtemoc rio lerma departamento con terraza en venta,5650000,82,2,2,easyaviso,25:53.3,68902.43902,19.4284411,-99.1690587,CUAUHTEMOC,15-009
377,departamento en venta en cuauhtemoc,5052570,72.99,2,2,easyaviso,25:53.3,69222.77024,19.434229,-99.1696626,CUAUHTEMOC,15-009
378,hermoso departamento en venta colonia cuauhtemoc,6485000,96.06,2,2,easyaviso,25:53.3,67509.88965,19.4323378,-99.1673083,CUAUHTEMOC,15-009
379,rio rhin departamento con terraza en venta,7475000,94,2,2,easyaviso,25:53.3,79521.2766,19.4310044,-99.1650972,CUAUHTEMOC,15-009
380,departamento en  en rio depto 501 t1ph  a dos cuadras de reforma,10052533.76,121.09,2,2,easyaviso,25:53.3,83017.04319,19.4265911,-99.1738761,CUAUHTEMOC,15-009
381,departamento en  en rio depto 303 t3  a dos cuadras de reforma,8751534.9,94.72,2,2,easyaviso,25:53.3,92393.73839,19.4265911,-99.1738761,CUAUHTEMOC,15-009
382,fantastico depa en venta colonia cuauhtemoc.,9991800,182.82,2,2,easyaviso,25:53.3,54653.75779,19.431275,-99.1671372,CUAUHTEMOC,15-009
383,suite amueblada en venta y renta en the ritz carlton mexico city,15398048,62,NA,NA,easyaviso,25:53.3,248355.6129,19.4240425,-99.1757592,CUAUHTEMOC,15-009
384,departamento en venta con balcon  col. cuauhtemoc,6200000,79,2,2,easyaviso,25:53.3,78481.01266,19.4256265,-99.1735301,CUAUHTEMOC,15-009
385,penthouse en venta en cuauhtemoc  residencias st regis,58376144,250,3,3,easyaviso,25:53.3,233504.576,19.4256427,-99.172342,CUAUHTEMOC,15-009
386,se vende departamento en el st. regis,72117440,271,4,3,easyaviso,25:53.3,266116.0148,19.4256427,-99.172342,CUAUHTEMOC,15-009
387,inversion inteligente en rio lerma 265 cuauhtemoc,3590000,39.2,NA,NA,easyaviso,25:53.3,91581.63265,19.426616,-99.1733477,CUAUHTEMOC,15-009
388,departamento en la colonia cuauhtemoc,5375000,90,2,3,easyaviso,25:53.3,59722.22222,19.4301322,-99.1691413,CUAUHTEMOC,15-009
389,departamento para inversion en calz. manuel villalongin cuauhtemoc,3200000,66.76,NA,2,easyaviso,25:53.3,47932.89395,19.4345758,-99.170255,CUAUHTEMOC,15-009
390,departamento en venta en colonia cuauhtemoc,7077500,90.35,2,2,easyaviso,25:53.3,78334.25567,19.4334119,-99.1702157,CUAUHTEMOC,15-009
391,increible preventa departamento rio lerma con rg privado,7450000,92.1,2,2,easyaviso,25:53.3,80890.33659,19.4262629,-99.1743598,CUAUHTEMOC,15-009
392,departamento en venta en colonia cuauhtemoc,5937500,75.7,2,2,easyaviso,25:53.3,78434.6103,19.4334119,-99.1702157,CUAUHTEMOC,15-009
393,increible preventa departamento rio lerma,6950000,107.9,2,2,easyaviso,25:53.3,64411.49212,19.4262629,-99.1743598,CUAUHTEMOC,15-009
394,departamentos recien terminados en rio rhin cuauhtemoc,6485000,89,2,2,easyaviso,25:53.3,72865.16854,19.4333378,-99.1663083,CUAUHTEMOC,15-009
395,rio rhin departamento ph con terraza,8900000,150,2,2,easyaviso,25:53.3,59333.33333,19.43130542,-99.16482943,CUAUHTEMOC,15-009
396,departamento rio lerma ii,6500000,82.9,2,2,easyaviso,25:53.3,78407.72014,19.4301322,-99.1691413,CUAUHTEMOC,15-009
397,departamento rio lerma,5750000,81.15,2,2,easyaviso,25:53.3,70856.43869,19.4301322,-99.1691413,CUAUHTEMOC,15-009
398,departamento rio grijalva ii,6317500,75.7,2,2,easyaviso,25:53.3,83454.42536,19.4301322,-99.1691413,CUAUHTEMOC,15-009
399,departamento rio grijalva,5842500,75.7,2,2,easyaviso,25:53.3,77179.65654,19.4301322,-99.1691413,CUAUHTEMOC,15-009
400,departamento en venta cuauhtemoc cuauhtemoc cdmx,5500000,108,NA,2,easyaviso,25:53.3,50925.92593,19.4307209,-99.170468,CUAUHTEMOC,15-009
401,rio rhin. departamento amueblado y decorado en venta,5975000,70,2,2,easyaviso,25:53.3,85357.14286,19.4310044,-99.1650972,CUAUHTEMOC,15-009
402,departamento en venta en cuauhtemoc 2 recamaras,5770200,96.17,2,2,easyaviso,25:53.3,60000,19.4347497,-99.1698908,CUAUHTEMOC,15-009
403,se vende departamento en the ritzcarlton mexico city,20465760,78,NA,NA,easyaviso,25:53.3,262381.5385,19.4237938,-99.1756269,CUAUHTEMOC,15-009
404,departamento en venta en cuauhtemoc 2 recamaras,5795400,96.59,NA,2,easyaviso,25:53.3,60000,19.4347497,-99.1698908,CUAUHTEMOC,15-009
405,carlos juan finlay 10,5750000,74,2,2,easyaviso,25:53.3,77702.7027,19.4316912,-99.1613396,CUAUHTEMOC,15-009
406,departamento tipo townhouse aire reforma  rio nilo,12936000,175,3,3,easyaviso,25:53.3,73920,19.4282761,-99.1716227,CUAUHTEMOC,15-009
407,departamentos aire reforma  rio nilo,7261512,92,2,2,easyaviso,25:53.3,78929.47826,19.4282761,-99.1716227,CUAUHTEMOC,15-009
408,departamento en venta en cuauhtemoc 1 recamaras,3550800,59.18,NA,NA,easyaviso,25:53.3,60000,19.4347497,-99.1698908,CUAUHTEMOC,15-009
409,departamento en venta en cuauhtemoc 2 recamaras,4734600,78.91,NA,2,easyaviso,25:53.3,60000,19.4347497,-99.1698908,CUAUHTEMOC,15-009
410,departamento en venta en cuauhtemoc,6485000,96,2,2,easyaviso,25:53.3,67552.08333,19.4317498,-99.1652508,CUAUHTEMOC,15-009
411,departamento en cuauhtemoc,9500000,220,3,3,easyaviso,25:53.3,43181.81818,19.4311644,-99.1637565,CUAUHTEMOC,15-009
412,departamento en cuauhtemoc,5500000,100,2,2,easyaviso,25:53.3,55000,19.4282664,-99.1689273,CUAUHTEMOC,15-009
413,condominio en venta en manuel villalongin cuauhtemoc 2 recamaras,4485000,74.75,NA,2,easyaviso,25:53.3,60000,19.4347497,-99.1698908,CUAUHTEMOC,15-009
414,condominio en venta en manuel villalongin cuauhtemoc 2 recamaras,4522200,75.37,2,2,easyaviso,25:53.3,60000,19.4347497,-99.1698908,CUAUHTEMOC,15-009
415,departamento nuevo col. cuauhtemoc.,8390000,163.5,2,3,easyaviso,25:53.3,51314.98471,19.4255513,-99.1751531,CUAUHTEMOC,15-009
416,departamento nuevo col. cuauhtemoc.,6690000,116,NA,2,easyaviso,25:53.3,57672.41379,19.4255513,-99.1751531,CUAUHTEMOC,15-009
417,departamento nuevo col. cuauhtemoc.,4940000,86.5,NA,2,easyaviso,25:53.3,57109.82659,19.4255513,-99.1751531,CUAUHTEMOC,15-009
418,venta departamento en col cuauhtemoc,7200000,160,2,2,easyaviso,25:53.3,45000,19.4298684,-99.167721,CUAUHTEMOC,15-009
419,vende departamento 144m2,4500000,144,2,3,easyaviso,25:53.3,31250,19.432648,-99.1713434,CUAUHTEMOC,15-009
420,departamento en  en rio depto 401 t1  a dos cuadras de reforma,7014460.65,78.45,2,2,easyaviso,25:53.3,89413.13767,19.4265911,-99.1738761,CUAUHTEMOC,15-009
421,departamento en  en rio depto 402 t2  a dos cuadras de reforma,6853731.36,75.12,2,2,easyaviso,25:53.3,91237.10543,19.4265911,-99.1738761,CUAUHTEMOC,15-009
422,departamento en  en rio depto 502 t2ph  a dos cuadras de reforma,9715598.13,113.44,2,2,easyaviso,25:53.3,85645.25855,19.4265911,-99.1738761,CUAUHTEMOC,15-009
423,venta de depas en cuauhtemoc,9991800,100.74,2,2,easyaviso,25:53.3,99184.03812,19.4302751,-99.1695033,CUAUHTEMOC,15-009
424,venta departamento cuauhtemoc rio guadalquivir.,6647999,89,2,2,easyaviso,25:53.3,74696.61798,19.4292751,-99.1705033,CUAUHTEMOC,15-009
425,estrena depto x av. reforma vista espectacular,8500000,95,2,2,easyaviso,25:53.3,89473.68421,19.4283006,-99.1717538,CUAUHTEMOC,15-009
426,bonito loft en venta,2900000,57,NA,NA,easyaviso,25:53.3,50877.19298,19.4289499,-99.1711628,CUAUHTEMOC,15-009
427,acogedor departamento en venta en cuauhtemoc cdmx,3400000,58,NA,NA,easyaviso,25:53.3,58620.68966,19.435459,-99.169174,CUAUHTEMOC,15-009
428,en venta hermoso depa en rio nilo cuauhtemoc y amueblado,6400000,73.4,2,2,easyaviso,25:53.3,87193.46049,19.4301322,-99.1691413,CUAUHTEMOC,15-009
429,venta de departamentos  col. cuauhtemoc cuauhtemoc,4734600,78.91,NA,2,easyaviso,25:53.3,60000,19.4347497,-99.1698908,CUAUHTEMOC,15-009
430,edificio de departamentos en venta,3.30E+07,700,7,7,easyaviso,25:53.3,47142.85714,19.4320559,-99.1643403,CUAUHTEMOC,15-009
431,penthouse en venta col. cuauhtemoc,8350000,164,3,2,easyaviso,25:53.3,50914.63415,19.4297567,-99.1728369,CUAUHTEMOC,15-009
432,rio grijalva 35 departamento en preventa 2 recamaras  desde 70.10m2,7142500,NA,2,2,easyaviso,25:53.3,NA,19.4334119,-99.1702157,CUAUHTEMOC,15-009
433,rio grijalva 35 departamento en preventa 2 recamaras con balcon desde 90.40 m2,8250000,NA,2,2,easyaviso,25:53.3,NA,19.4334024,-99.1705363,CUAUHTEMOC,15-009
434,rio grijalva 35 departamento en preventa 2 recamaras con terraza desde90.35m2,7077500,NA,2,2,easyaviso,25:53.3,NA,19.4334119,-99.1702157,CUAUHTEMOC,15-009
435,rio grijalva 35 departamento en preventa 2 recamaras con balcon desde 75.7m2,6317500,NA,2,2,easyaviso,25:53.3,NA,19.4339137,-99.170432,CUAUHTEMOC,15-009
436,rio grijalva 35 departamento en preventa 2 recamaras con balcon desde 83.90m2,6792500,NA,2,2,easyaviso,25:53.3,NA,19.4334119,-99.1702157,CUAUHTEMOC,15-009
437,rio grijalva 35 departamento en preventa 2 recamaras con balcon desde 83.90m2,6887500,NA,2,2,easyaviso,25:53.3,NA,19.4339137,-99.170432,CUAUHTEMOC,15-009
438,rio grijalva 35 departamento en preventa 2 recamaras con balcon desde 83.90m2,6982500,NA,2,2,easyaviso,25:53.3,NA,19.4339137,-99.170432,CUAUHTEMOC,15-009
439,rio grijalva 35 departamento en preventa 2 recamaras con balcon desde83.90m2,7077500,NA,2,2,easyaviso,25:53.3,NA,19.4339137,-99.170432,CUAUHTEMOC,15-009
440,ultimos dos hermosos departamentos en cuauhtemoccuauhtemoc,1.00E+07,100.74,2,2,easyaviso,25:53.3,99265.43578,19.4271322,-99.1721413,CUAUHTEMOC,15-009
441,departamento en venta en colonia cuauhtemoc,8900000,180,3,4,easyaviso,25:53.3,49444.44444,19.4289019,-99.1684308,CUAUHTEMOC,15-009
442,departamento en venta para estrenar en col. cuauhtemoc,4950000,68.26,NA,NA,easyaviso,25:53.3,72516.84735,19.4300507,-99.1721338,CUAUHTEMOC,15-009
443,departamento ph en venta en cuauhtemoc,7200000,134,2,2,easyaviso,25:53.3,53731.34328,19.4306805,-99.1679601,CUAUHTEMOC,15-009
444,departamentoen venta en rio lerma  col. cuauhtemoc,7350000,80.5,2,2,easyaviso,25:53.3,91304.34783,19.4262629,-99.1743598,CUAUHTEMOC,15-009
445,departamento en venta,7275000,155,2,2,easyaviso,25:53.3,46935.48387,19.4304782,-99.1707085,CUAUHTEMOC,15-009
446,departamento en venta,6425000,90,2,2,easyaviso,25:53.3,71388.88889,19.4304782,-99.1707085,CUAUHTEMOC,15-009
447,departamento en venta en la colonia cuauhtemoc cdmx,6725000,104,2,2,easyaviso,25:53.3,64663.46154,19.4304782,-99.1707085,CUAUHTEMOC,15-009
448,cuauhtemoc venta excelente departamento con balcon para estrenar,5995000,70,2,2,easyaviso,25:53.3,85642.85714,19.4310044,-99.1650972,CUAUHTEMOC,15-009
449,departamento en venta en ritz carlton,3.50E+07,NA,2,2,easyaviso,25:53.3,NA,19.4237938,-99.1756269,CUAUHTEMOC,15-009
450,departamento venta rio elba cuauhtemoc rdv614593,4700000,97,NA,2,easyaviso,25:53.3,48453.60825,19.4254137,-99.1749721,CUAUHTEMOC,15-009
451,departamento en preventa sep. 24  rio nazas,6400000,90,2,2,easyaviso,25:53.3,71111.11111,19.4313622,-99.1691016,CUAUHTEMOC,15-009
452,departamentos en venta en col. cuauhtemoc cuauhtemoc,6300000,140,2,2,easyaviso,25:53.3,45000,19.4277893,-99.171524,CUAUHTEMOC,15-009
453,departamento en venta en la colonia cuauhtemoc,6590000,52.59,NA,NA,easyaviso,25:53.3,125308.9941,19.4313622,-99.1691016,CUAUHTEMOC,15-009
454,departamento en venta en la colonia cuauhtemoc,6150000,86,2,2,easyaviso,25:53.3,71511.62791,19.4311322,-99.1681413,CUAUHTEMOC,15-009
455,oportunidad unica invierta en rio panuco cuauhtemoc. lujo y. confort,5950000,70.12,2,2,easyaviso,25:53.3,84854.53508,19.4298854,-99.1691796,CUAUHTEMOC,15-009
456,departamento en venta en cuauhtemoc,5100000,97,2,2,easyaviso,25:53.3,52577.31959,19.4286428,-99.1718132,CUAUHTEMOC,15-009
457,penthouse a la venta  colonia cuauhtemoc en la calle rio ebro,8300000,256,3,4,easyaviso,25:53.3,32421.875,19.4307209,-99.170468,CUAUHTEMOC,15-009
458,departamento en venta en cuauhtemoc,7200000,134,2,2,easyaviso,25:53.3,53731.34328,19.4298684,-99.167721,CUAUHTEMOC,15-009
459,venta departamento en col. cuauhtemoc con balcon,4600000,90,2,2,easyaviso,25:53.3,51111.11111,19.4258482,-99.1758964,CUAUHTEMOC,15-009
460,departamento en venta en st regis con impresionante vista panoramica,20800000,120,NA,NA,easyaviso,25:53.3,173333.3333,19.4256427,-99.172342,CUAUHTEMOC,15-009
461,paseo de la reforma 222,8900000,109,2,2,easyaviso,25:53.3,81651.37615,19.4255584,-99.1711814,CUAUHTEMOC,15-009
462,departamento en venta en cuauhtemoc,5.00E+06,72,2,2,easyaviso,25:53.3,69444.44444,19.432229,-99.1716626,CUAUHTEMOC,15-009
463,departamento 77m2 con balcon 2 recamaras en cuauhtemoc preventa,5750000,77.2,2,2,easyaviso,25:53.3,74481.86528,19.4341434,-99.1693631,CUAUHTEMOC,15-009
464,departamento 92m2 con terraza y balcon 2 recamaras en cuauhtemoc preventa,6250000,91.85,2,2,easyaviso,25:53.3,68045.72673,19.4311434,-99.1723631,CUAUHTEMOC,15-009
465,departamento 147m2 con roof privado y balcon 2  recamaras en cuauhtemoc preventa,8350000,143.7,2,2,easyaviso,25:53.3,58107.16771,19.4351434,-99.1683631,CUAUHTEMOC,15-009
466,st. regis magnifico departamento amueblado  venta y renta,52626240,190,2,2,easyaviso,25:53.3,276980.2105,19.4254096,-99.1721919,CUAUHTEMOC,15-009
467,departamento de loft ritz carlton,13448928,58.44,NA,NA,easyaviso,25:53.3,230132.2382,19.4240425,-99.1757592,CUAUHTEMOC,15-009
468,departamento amueblado renta venta en ritz carlton,77964800,240,2,2,easyaviso,25:53.3,324853.3333,19.4240425,-99.1757592,CUAUHTEMOC,15-009
469,st. regis magnifico departamento amueblado en venta,50677120,190,2,2,easyaviso,25:53.3,266721.6842,19.4273694,-99.1684647,CUAUHTEMOC,15-009
470,vendo lindo apartamento cuauhtemoc,5685000,72,2,2,easyaviso,25:53.3,78958.33333,19.4298854,-99.1691796,CUAUHTEMOC,15-009
471,departamento en venta en cuauhtemoc 1 recamaras,5750000,75,2,NA,easyaviso,25:53.3,76666.66667,19.4262629,-99.1743598,CUAUHTEMOC,15-009
472,departamento en preventa a una cuadra de reforma rio papaloapan 19502,6929880,74.5,2,2,easyaviso,25:53.3,93018.52349,19.4296229,-99.1653226,CUAUHTEMOC,15-009
473,departamento en preventa a una cuadra de reforma rio papaloapan 19501,6850320,75,2,2,easyaviso,25:53.3,91337.6,19.4296229,-99.1653226,CUAUHTEMOC,15-009
474,torrre libertad cuauhtemoc departamento venta cdmx,31696000,183,3,2,easyaviso,25:53.3,173202.1858,19.4256427,-99.172342,CUAUHTEMOC,15-009
475,super departamento remodelado y equipado en plaza grijalva,5900000,98,2,2,easyaviso,25:53.3,60204.08163,19.4340024,-99.1698862,CUAUHTEMOC,15-009
476,cuahutemoc departamentos cerca del angel de la independencia,6485000,96,2,2,easyaviso,25:53.3,67552.08333,19.4301322,-99.1691413,CUAUHTEMOC,15-009
477,cuahutemoc departamentos cerca del angel de la independencia,4899000,77,2,2,easyaviso,25:53.3,63623.37662,19.4301322,-99.1691413,CUAUHTEMOC,15-009
478,departamento en venta a unas calles del angel de reforma,6760568,90,2,2,easyaviso,25:53.3,75117.42222,19.428275,-99.1701372,CUAUHTEMOC,15-009
479,departamento en venta en rio rhin en cuauhtemoc,6525000,89,2,2,easyaviso,25:53.3,73314.60674,19.4333378,-99.1663083,CUAUHTEMOC,15-009
480,en venta departamentos con balcon en rio nilo cuauhtemoc,7256321,76,2,2,easyaviso,25:53.3,95477.90789,19.4293215,-99.171978,CUAUHTEMOC,15-009
481,nuevo departamento en venta rio guadalquivir,9991800,100.74,2,2,easyaviso,25:53.3,99184.03812,19.428275,-99.1701372,CUAUHTEMOC,15-009
482,departamento nuevo en venta en rio guadalquivir cuauhtemoc,6647892,90,2,2,easyaviso,25:53.3,73865.46667,19.4284531,-99.170329,CUAUHTEMOC,15-009
483,departamento nuevo con balcon en venta cuauhtemoc,6417476.37,75.19,2,2,easyaviso,25:53.3,85350.13127,19.4254064,-99.1732245,CUAUHTEMOC,15-009
484,departamento en venta residencial st regis paseo de la reforma,35084160,183,3,2,easyaviso,25:53.3,191716.7213,19.4256427,-99.172342,CUAUHTEMOC,15-009
485,rio lerma  293 departamento en preventa 2 recamaras con  balcon desde 82.79 m2,6500000,82.9,2,2,easyaviso,25:53.3,78407.72014,19.4261645,-99.1743101,CUAUHTEMOC,15-009
486,rio lerma  293 departamento en preventa 2 recamaras con balcon desde 92.10 m2,7450000,91.32,2,2,easyaviso,25:53.3,81581.25274,19.4261645,-99.1743101,CUAUHTEMOC,15-009
487,departamento en venta en calle super tranquila de la cuauhtemoc,5980000,109,2,2,easyaviso,25:53.3,54862.38532,19.4359905,-99.169189,CUAUHTEMOC,15-009
488,departamento nuevo en cuauhtemoc  en venta,6847000,90,2,2,easyaviso,25:53.3,76077.77778,19.4322751,-99.1675033,CUAUHTEMOC,15-009
489,departamento en venta cuauhtemoc,9991800,NA,2,2,easyaviso,25:53.3,NA,19.428275,-99.1701372,CUAUHTEMOC,15-009
490,departamento a solo unos pasos del angel de la independencia.,6847892,90,2,2,easyaviso,25:53.3,76087.68889,19.4277791,-99.1699301,CUAUHTEMOC,15-009
491,departamento 96m2 balcon 2 recamaras 2 banos cuauhtemoc,6485000,96.06,2,2,easyaviso,25:53.3,67509.88965,19.4303378,-99.1693083,CUAUHTEMOC,15-009
492,venta departamento airbb  cuauhtemoc,6.00E+06,92,2,2,easyaviso,25:53.3,65217.3913,19.4253782,-99.1743528,CUAUHTEMOC,15-009
493,estrena preciosos departamentos de 2 recamaras en col. cuauhtemoc,5053000,73,2,2,easyaviso,25:53.3,69219.17808,19.4321765,-99.1717473,CUAUHTEMOC,15-009
494,cuauhtemoc depto. frente al parque olof palme  para inversionista,6700000,119,2,2,easyaviso,25:53.3,56302.52101,19.4337147,-99.1705028,CUAUHTEMOC,15-009
495,venta de departamento en venta en la colonia cuauhtemoc,4100000,73.04,NA,2,easyaviso,25:53.3,56133.62541,19.4275914,-99.1747504,CUAUHTEMOC,15-009
496,venta de departamento en la colonia cuauhtemoc,4100000,73.85,NA,NA,easyaviso,25:53.3,55517.94177,19.4275914,-99.1747504,CUAUHTEMOC,15-009
497,excelente oportunidad inversionistas rio nazas cuauhtemoc,8.00E+06,158,2,2,easyaviso,25:53.3,50632.91139,19.4313622,-99.1691016,CUAUHTEMOC,15-009
498,departamento en renta o venta en reforma  1r1.5b2e  amenidades  120m2,2.80E+07,NA,NA,NA,easyaviso,25:53.3,NA,19.4276427,-99.170342,CUAUHTEMOC,15-009
499,departamentos en preventa a una cuadra de reforma,6430000,75,2,2,easyaviso,25:53.3,85733.33333,19.4295694,-99.1650953,CUAUHTEMOC,15-009
500,departamento en venta cuauhtemoc ultimos disponibles,6725000,85,NA,NA,easyaviso,25:53.3,79117.64706,19.43078941,-99.17015074,CUAUHTEMOC,15-009
501,departamento en venta cuauhtemoc ultimos disponibles,6400000,85,2,2,easyaviso,25:53.3,75294.11765,19.43078941,-99.17015074,CUAUHTEMOC,15-009
502,departamento en venta cuauhtemoc ultimos disponibles,7275000,85,2,2,easyaviso,25:53.3,85588.23529,19.43078941,-99.17015074,CUAUHTEMOC,15-009
503,ph con roof garden privado rio niagara cuauhtemoc.,8500000,182,2,2,easyaviso,25:53.3,46703.2967,19.4284546,-99.1709021,CUAUHTEMOC,15-009
504,departamento a estrenar en venta sobre guadalquivir  cuauhtemoc cdmx,5052570,72.99,2,2,easyaviso,25:53.3,69222.77024,19.4321765,-99.1717473,CUAUHTEMOC,15-009
505,departamento en preventa en colonia cuauhtemoc,5842500,75,2,2,easyaviso,25:53.3,77900,19.4354119,-99.1682157,CUAUHTEMOC,15-009
506,departamento venta col. cuauhtemoc,5400000,67,2,2,easyaviso,25:53.3,80597.01493,19.4286428,-99.1718132,CUAUHTEMOC,15-009
507,departamento en venta col. cuauhtemoc,1.10E+07,200,2,3,easyaviso,25:53.3,55000,19.4325978,-99.1636664,CUAUHTEMOC,15-009
508,departamento en preventa a una cuadra de reforma rio papaloapan 19201,6566760,75,2,2,easyaviso,25:53.3,87556.8,19.4296229,-99.1653226,CUAUHTEMOC,15-009
509,departamento en preventa a una cuadra de reforma rio papaloapan 19202,6511680,74.5,2,2,easyaviso,25:53.3,87405.10067,19.4296229,-99.1653226,CUAUHTEMOC,15-009
510,departamento en rio guadalquivir cuahutemoc  cdmx,6900000,75.9,2,2,easyaviso,25:53.3,90909.09091,19.4292751,-99.1705033,CUAUHTEMOC,15-009
511,departamento en rio guadalquivir cuahutemoc  cdmx,5052570,72,2,2,easyaviso,25:53.3,70174.58333,19.4292751,-99.1705033,CUAUHTEMOC,15-009
512,departamentos rio guadiana  cuauhtemoc,5300000,86,2,NA,easyaviso,25:53.3,61627.90698,19.4328109,-99.1607492,CUAUHTEMOC,15-009
513,departamento en venta en rio danubio cuauhtemoc,4800000,84,2,2,easyaviso,25:53.3,57142.85714,19.4300115,-99.1674328,CUAUHTEMOC,15-009
514,preventa depto en col cuauhtemoc,4750000,68.26,NA,NA,easyaviso,25:53.3,69586.87372,19.4300507,-99.1721338,CUAUHTEMOC,15-009
515,departamento en venta colonia cuauhtemoc,5600000,70,2,2,easyaviso,25:53.3,80000,19.4306118,-99.1628482,CUAUHTEMOC,15-009
516,venta  departamento ph en colonia cuauhtemoc,10500000,177,2,3,easyaviso,25:53.3,59322.0339,19.4312007,-99.1690176,CUAUHTEMOC,15-009
