Unnamed: 0,oferta,precio,mts,bathrooms,recamaras,fuente,fecha_consulta,precio_m2,latitud,longitud,UT,CVEUT,DEMARCACIO,Unnamed: 14,Unnamed: 15,Unnamed: 16
5,depto en renta en rio poo col. cuauhtemoc,33000.0,85.0,2.0,2.0,easyaviso,28:03.5,388.2352941,19.4260615,-99.175263,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2147980.66720028)
112,renta depa en col. cuauhtemoc vuelve tu sueno a la vida,34000.0,115.0,2.0,2.0,easyaviso,28:03.5,295.6521739,19.4310829,-99.1687935,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148535.62367)
33,renta departamento ph en edificio de estilo art deco.,34900.0,132.0,2.0,,easyaviso,28:03.5,264.3939394,19.4281566,-99.1740835,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148212.37147427)
77,departamento amueblado en renta colonia cuauhtemoc,35000.0,107.0,2.0,3.0,easyaviso,28:03.5,327.1028037,19.4308928,-99.1682113,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148514.52867006)
23,departamento en renta rio panuco,35000.0,80.0,2.0,2.0,easyaviso,28:03.5,437.5,19.4298854,-99.1691796,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148403.15603477)
171,renta departamento anzures,35000.0,,2.0,2.0,easyaviso,28:03.5,,19.437516,-99.1729857,VERONICA ANZURES,16-084,MIGUEL HIDALGO,,, 2149247.90489825)
179,departamento en renta en hares cdmx,35000.0,96.0,2.0,2.0,easyaviso,28:03.5,364.5833333,19.4366228,-99.179453,ANAHUAC II,16-089,MIGUEL HIDALGO,,, 2149149.76403963)
103,departamento en renta cdmx,35000.0,107.0,2.0,3.0,easyaviso,28:03.5,327.1028037,19.4308928,-99.1682113,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148514.52867006)
36,departamento amueblado en renta cuauhtemoc rio panuco,35000.0,110.0,2.0,3.0,easyaviso,28:03.5,318.1818182,19.42979955,-99.16935904,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148393.6746248)
39,renta  departamento en  colonia cuauhtemoc sin muebles,35000.0,74.0,2.0,2.0,easyaviso,28:03.5,472.972973,19.4308928,-99.1682113,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148514.52867006)
54,departamento amueblado en renta col. cuauhtemoc,35500.0,85.0,2.0,2.0,easyaviso,28:03.5,417.6470588,19.4321346,-99.1694294,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148652.06337516)
27,departamento amoblado en renta en colonia cuauhtemoc,36000.0,120.0,2.0,2.0,easyaviso,28:03.5,300.0,19.4264659,-99.1734568,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148025.22349457)
73,departamento en renta en cuauhtemoc,38000.0,120.0,,2.0,easyaviso,28:03.5,316.6666667,19.4335862,-99.1698593,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148812.73229941)
101,renta departamento amueblado residencial lugano  mt,38000.0,120.0,2.0,2.0,easyaviso,28:03.5,316.6666667,19.4335534,-99.1708936,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148809.21028883)
42,departamento en renta en cuauhtemoc amueblado m2d3359,38000.0,120.0,,2.0,easyaviso,28:03.5,316.6666667,19.4335534,-99.1708936,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148809.21028883)
105,departamento amueblado en renta cuauhtemoc,38000.0,,,2.0,easyaviso,28:03.5,,19.4317147,-99.1725028,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148605.92029836)
64,departamento en renta en 38000.00 en cuauhtemoc,38000.0,120.0,2.0,2.0,easyaviso,28:03.5,316.6666667,19.4301322,-99.1691413,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148430.46133483)
153,cuauhtemoc rio rhin departamento. amueblado renta 38500mn,38500.0,108.0,2.0,2.0,easyaviso,28:03.5,356.4814815,19.4305466,-99.1649104,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148475.88536994)
134,departamento en renta en rio nazas muebles servicios y equipamiento incluido,38782.0,45.0,,,easyaviso,28:03.5,861.8222222,19.4328484,-99.1661571,CUAUHTEMOC,15-009,CUAUHTEMOC,,, 2148730.71307092)
