oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
renta y estrena gran depto. t05 en la col. cuauhtemoc,24000.0,97.0,2.0,2.0,19.4332371,-99.1646598,easyaviso,2025-05-07 12:28:03.532203,247.42268041237114
renta departamento calle uruguay,12000.0,60.0,,,19.4051076,-99.1511875,easyaviso,2025-05-07 12:28:03.532203,200.0
departamento en renta cuauhtemoc,22500.0,71.0,,,19.4277443,-99.1730046,easyaviso,2025-05-07 12:28:03.532203,316.90140845070425
departamento amueblado en renta colonia cuauhtemoc,35000.0,107.0,2.0,3.0,19.4308928,-99.1682113,easyaviso,2025-05-07 12:28:03.532203,327.10280373831773
cuauhtemoc equipado y amueblado de lujo 3 recamaras,58000.0,130.0,2.0,3.0,19.4322204,-99.1659133,easyaviso,2025-05-07 12:28:03.532203,446.15384615384613
renta de departamento amueblado en la colonia chuahutemoc,28500.0,80.0,,,19.4320033,-99.1659542,easyaviso,2025-05-07 12:28:03.532203,356.25
departemento  en renta  cuauhtemoc,27000.0,61.0,2.0,2.0,19.4364703,-99.1704069,easyaviso,2025-05-07 12:28:03.532203,442.62295081967216
renta loft con terraza en san rafael,9500.0,40.0,,,19.4387443,-99.1661061,easyaviso,2025-05-07 12:28:03.532203,237.5
penthouse en renta en be grand alto polanco miguel hidalgo,83000.0,250.0,3.0,3.0,19.4413563,-99.1802147,easyaviso,2025-05-07 12:28:03.532203,332.0
departamento 110m2 cuauhtemoc 3 recamaras con roof privado,39000.0,110.0,3.0,3.0,19.424059,-99.1772511,easyaviso,2025-05-07 12:28:03.532203,354.54545454545456
hermoso departamento renta  cerca de reforma,30000.0,80.0,2.0,2.0,19.4298328,-99.1669954,easyaviso,2025-05-07 12:28:03.532203,375.0
hermoso departamento en renta  cerca de reforma,58000.0,220.0,4.0,6.0,19.4298328,-99.1669954,easyaviso,2025-05-07 12:28:03.532203,263.6363636363636
hermoso departamento renta  cerca de reforma  muy amplio,46000.0,170.0,4.0,4.0,19.4298328,-99.1669954,easyaviso,2025-05-07 12:28:03.532203,270.5882352941176
hermoso departamento renta  cerca de reforma,44000.0,170.0,3.0,5.0,19.4298328,-99.1669954,easyaviso,2025-05-07 12:28:03.532203,258.8235294117647
hermoso departamento renta rio tigris  super amplio,44000.0,170.0,3.0,5.0,19.4298328,-99.1669954,easyaviso,2025-05-07 12:28:03.532203,258.8235294117647
departamento en renta. veronica anzures  jb250,16500.0,30.0,,,19.436516,-99.1739857,easyaviso,2025-05-07 12:28:03.532203,550.0
loft amueblado y equipado en cuautemoc,20000.0,50.0,,,19.434459,-99.1688251,easyaviso,2025-05-07 12:28:03.532203,400.0
departamento en renta en cuauhtemoc 1 recamaras,25000.0,100.0,,,19.4304827,-99.1654,easyaviso,2025-05-07 12:28:03.532203,250.0
exclusivo departamento en st. regis,70000.0,127.0,,,19.4303694,-99.1654647,easyaviso,2025-05-07 12:28:03.532203,551.1811023622047
renta all vistas reforma 27000,27000.0,61.0,2.0,2.0,19.4286734,-99.1731812,easyaviso,2025-05-07 12:28:03.532203,442.62295081967216
depto. amueblado a dos minutos de polanco,17500.0,69.0,,,19.4282365333,-99.1749407759,easyaviso,2025-05-07 12:28:03.532203,253.6231884057971
departamento en renta en paseo de la reforma st regis 2007,137116.0,189.0,2.0,3.0,19.4256427,-99.172342,easyaviso,2025-05-07 12:28:03.532203,725.4814814814815
renta departamento amueblado,20000.0,,,2.0,19.4334014,-99.1692644,easyaviso,2025-05-07 12:28:03.532203,
departamento con terraza amplia en la cuauhtemoc,30000.0,80.0,2.0,2.0,19.4308328,-99.1659954,easyaviso,2025-05-07 12:28:03.532203,375.0
departamento amueblado 4 recamaras en la cuauhtemoc,40000.0,170.0,4.0,4.0,19.4268328,-99.1699954,easyaviso,2025-05-07 12:28:03.532203,235.2941176470588
departamento amueblado en la cuauhtemoc  renta,57000.0,300.0,4.0,6.0,19.4308328,-99.1659954,easyaviso,2025-05-07 12:28:03.532203,190.0
departmento amueblado st regis 2006,97940.0,127.0,2.0,,19.4256427,-99.172342,easyaviso,2025-05-07 12:28:03.532203,771.1811023622047
departamento amoblado en renta  rio neva  cuauhtemoc,40000.0,110.0,2.0,2.0,19.4308192,-99.1619165,easyaviso,2025-05-07 12:28:03.532203,363.6363636363636
renta departamento col. cuauhtemoc.,25000.0,88.0,2.0,2.0,19.4258936,-99.1758183,easyaviso,2025-05-07 12:28:03.532203,284.09090909090907
penthouse en renta en cuauhtemoc  residencias st regis,292840.60000000003,410.0,3.0,3.0,19.4256427,-99.172342,easyaviso,2025-05-07 12:28:03.532203,714.2453658536587
renta departamento con terraza y membresia en the ritzcarlton cdmx,107734.0,80.0,2.0,,19.4241419042,-99.1756010056,easyaviso,2025-05-07 12:28:03.532203,1346.675
departamento en renta veronica anzures marina nacional,29500.0,82.0,2.0,2.0,19.4376516,-99.1724718,easyaviso,2025-05-07 12:28:03.532203,359.7560975609756
departamento amueblado en renta b grand reforma,47000.0,95.0,2.0,2.0,19.4346306,-99.1535449,easyaviso,2025-05-07 12:28:03.532203,494.7368421052632
residencias ritz carlton piso 54,254644.0,240.0,2.0,2.0,19.423797,-99.1756078,easyaviso,2025-05-07 12:28:03.532203,1061.0166666666667
renta departamento amueblado residencial lugano  mt,38000.0,120.0,2.0,2.0,19.4335534,-99.1708936,easyaviso,2025-05-07 12:28:03.532203,316.6666666666667
departamento en venta en cuauhtemoc,1.0,140.0,2.0,2.0,19.4277893,-99.171524,easyaviso,2025-05-07 12:28:03.532203,0.007142857142857143
renta de pent house en be grand alto polanco,90000.0,135.0,3.0,3.0,19.4410111,-99.1795604,easyaviso,2025-05-07 12:28:03.532203,666.6666666666666
departamento en renta cdmx,35000.0,107.0,2.0,3.0,19.4308928,-99.1682113,easyaviso,2025-05-07 12:28:03.532203,327.10280373831773
rio misisipi cuauhtemoc,22500.0,71.0,,,19.4277443,-99.1730046,easyaviso,2025-05-07 12:28:03.532203,316.90140845070425
departamento en renta colonia san rafael,15000.0,62.0,,2.0,19.4378093,-99.1580662,easyaviso,2025-05-07 12:28:03.532203,241.93548387096774
departamento amueblado en renta cuauhtemoc,38000.0,,,2.0,19.4317147,-99.1725028,easyaviso,2025-05-07 12:28:03.532203,
renta departamento la colonia cuauhtemoc,27000.0,92.5,,2.0,19.4310153,-99.1639727,easyaviso,2025-05-07 12:28:03.532203,291.8918918918919
apartamento en el centro financiero rio rin,45000.0,96.0,2.0,2.0,19.4333378,-99.1663083,easyaviso,2025-05-07 12:28:03.532203,468.75
departamento renta en colonia cuauhtemoc,40000.0,110.0,2.0,2.0,19.431494,-99.1624579,easyaviso,2025-05-07 12:28:03.532203,363.6363636363636
departamento en renta en  ritz carlton reforma cdmx,88146.0,85.0,,,19.4229613,-99.1749915,easyaviso,2025-05-07 12:28:03.532203,1037.0117647058823
suite ejecutiva 1 habitacion 1 auto. remodelado.,19500.0,57.0,,,19.4284201611,-99.1702666451,easyaviso,2025-05-07 12:28:03.532203,342.10526315789474
departamento en renta en reforma ritz carlton cuauhtemoc,117528.0,123.0,2.0,,19.4240425,-99.1757592,easyaviso,2025-05-07 12:28:03.532203,955.5121951219512
departamento en venta o renta en ritz carlton,152786.4,156.79,2.0,2.0,19.4240425,-99.1757592,easyaviso,2025-05-07 12:28:03.532203,974.4652082403214
departamento en renta en frente del mercado michoacan add,54000.0,120.0,2.0,2.0,19.4113636,-99.1738644,easyaviso,2025-05-07 12:28:03.532203,450.0
renta depa en col. cuauhtemoc vuelve tu sueno a la vida,34000.0,115.0,2.0,2.0,19.4310829,-99.1687935,easyaviso,2025-05-07 12:28:03.532203,295.6521739130435
departamento  amueblado en ritz carlton,125363.20000000001,120.0,,,19.423858595,-99.1756761074,easyaviso,2025-05-07 12:28:03.532203,1044.6933333333334
departamento en renta  portika polanco,38500.0,90.0,2.0,3.0,19.4425805,-99.1835662,easyaviso,2025-05-07 12:28:03.532203,427.77777777777777
venta departamento en col.cuauhtemoc,23000.0,114.0,,2.0,19.4315806,-99.1635116,easyaviso,2025-05-07 12:28:03.532203,201.75438596491227
departamento loft amueblado con servicios,55000.0,80.0,,,19.4257034641,-99.1714641362,easyaviso,2025-05-07 12:28:03.532203,687.5
renta departamento colonia cuauhtemoc,29000.0,155.0,2.0,2.0,19.4319954,-99.1659839,easyaviso,2025-05-07 12:28:03.532203,187.09677419354838
precioso departamento en renta en el corazon de la cdmx,17500.0,,,,19.4267428,-99.161294,easyaviso,2025-05-07 12:28:03.532203,
